id,news_url,title,Status
gossipcop-2493749932,www.dailymail.co.uk/tvshowbiz/article-5874213/Did-Miley-Cyrus-Liam-Hemsworth-secretly-married.html,Did Miley Cyrus and Liam Hemsworth secretly get married?,Fake
gossipcop-4580247171,hollywoodlife.com/2018/05/05/paris-jackson-cara-delevingne-matching-outfits-night-out-nyc-dating-pic/,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’,Fake
gossipcop-941805037,variety.com/2017/biz/news/tax-march-donald-trump-protest-1202031487/,Celebrities Join Tax March in Protest of Donald Trump,Fake
gossipcop-5476631226,variety.com/2018/film/news/list-2018-oscar-nominations-1202668757/,Full List of 2018 Oscar Nominations – Variety,Fake
gossipcop-9588339534,www.foxnews.com/entertainment/2016/12/16/biggest-celebrity-scandals-2016.html,Biggest celebrity scandals of 2016,Fake
gossipcop-8753274298,www.eonline.com/news/958257/caitlyn-jenner-addresses-rumored-romance-with-sophia-hutchins,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins,Fake
gossipcop-8105333868,www.inquisitr.com/3871816/taylor-swift-reportedly-reacts-to-tom-hiddlestons-golden-globes-win/,Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win,Fake
gossipcop-2803748870,www.huffingtonpost.com/entry/kate-mckinnon-the-spy-who-dumped-me_us_5b61e93ae4b0fd5c73d59a48,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?",Fake
gossipcop-7312096991,www.msn.com/en-us/music/celebrity/miley-cyrus-liam-hemsworth-did-not-get-married-on-tybee-island-despite-report/ar-BBEUM3q,"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report",Fake
gossipcop-5328748354,yournewswire.com/miley-cyrus-satan/,Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’,Fake
gossipcop-9878194459,www.marieclaire.com.au/selena-gomez-had-the-perfect-response-to-news-of-justin-bieber-s-engagement,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement,Fake
gossipcop-8099144572,www.imdb.com/news/ni61369220,"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business",Fake
gossipcop-2210288941,hollywoodlife.com/2018/08/13/angelina-jolie-heartbroken-brad-pitt-split/,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",Fake
gossipcop-6068765070,radaronline.com/exclusives/2018/07/ben-affleck-best-friend-matt-damon-life-coach-advice/,He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach,Fake
gossipcop-3783917182,www.politico.com/story/2017/09/22/full-statement-john-mccain-on-voting-no-on-graham-cassidy-243030,Full statement: John McCain to vote no on Graham-Cassidy health care bill,Fake
gossipcop-2365780434,en.wikipedia.org/wiki/Despacito,Justin Bieber Despacito,Fake
